code,name
afm204,Introduction to Applied Finance
afm205,Introduction to Financial Services
afm206,Introduction to Tax
afm207,Introduction to Performance Analytics
afm208,Introduction to Assurance
afm211,Connections to Business Context
afm212,Financial Analysis and Planning
afm231,Business Law
afm241,Impact of Technology on Business
afm244,Analytic Methods for Business 3
afm271,Managerial Finance 1
afm272,Global Capital Markets and Financial Analytics
afm273,Financial Instruments and Capital Markets
afm274,Introduction to Corporate Finance
afm275,Corporate Finance
afm276,Financial Statement Analysis
afm280,Introduction to Organizational Behaviour
afm285,Introduction to Sustainability and Sustainable Business
afm291,Intermediate Financial Accounting 1
afm311,Connections to Ethical Context
afm321,Personal Financial Planning and Taxation
afm322,Derivative Securities
afm323,Quantitative Foundations for Finance
afm324,Wealth Management
afm326,Student Venture Fund - Analyst
afm328,Investment Management - Junior Analyst
afm329,Investment Management - Senior Analyst
afm331,Business Strategy
afm332,"Accounting, Assurance, and the Law"
afm333,International Business
afm334,International Study Experience
afm335,Business Law for Financial Managers
afm341,Accounting Information Systems
afm344,Analytic Methods in Business 4
afm345,Business Applications of Social Media Analytics
afm346,Applications of Predictive Analytics in Accounting and Finance
afm347,Cybersecurity
afm351,Audit Strategy
afm352,Comprehensive/Operational Auditing
afm361,Taxation 1
afm362,Corporate Taxation
afm363,Taxation 2 - Integration
afm371,Managerial Finance 2
afm372,Corporate Finance 2
afm373,Cases and Applications in Corporate Finance
afm377,Private Equity and Venture Capital
afm382,Cost Management Systems
afm391,Intermediate Financial Accounting 2
afm401,Accounting Theory
afm411,Connections Across Competencies for Accounting Professionals
afm412,Connections Across Competencies for Finance Professionals
afm415,Special Topics
afm416,Special Topics in Finance
afm417,Special Topics in Accounting
afm418,Special Topics in Finance or Accounting
afm422,Management of Financial Institutions
afm423,Topics in Financial Econometrics
afm424,Equity Investments
afm425,Fixed Income Securities
afm426,Student Venture Fund-Associate
afm427,Intermediate Portfolio Management
afm428,Investment Management - Junior Portfolio Manager
afm429,Investment Management - Senior Portfolio Manager
afm431,Professional Ethics for Financial Managers
afm432,Legal Environment and Corporate Governance
afm433,Business Strategy
afm434,Corporate Governance and Risk Management
afm442,E-business: Enterprise Systems
afm443,E-business: Introduction to Electronic Commerce
afm444,Business Analytics Project Management
afm445,Information Technology Assurance and Audit Analytics
afm446,Performance Management and Tax Analytics
afm447,Governance and Ethical Issues with Data and Emerging Technologies
afm448,Data Analytics and Emerging Technologies Consulting Group
afm451,Audit Strategy
afm452,Internal Audit
afm461,Taxation 2
afm462,Specialized Topics in Taxation
afm463,Introduction to U.S. Taxation
afm470,Financial Management of High Growth Companies
afm471,Cases and Applications in Corporate Finance
afm472,Equity Investments
afm473,Advanced Topics in Corporate Finance
afm474,Derivative Securities
afm475,Fixed Income Securities
afm476,Corporate Financial Decision Making
afm477,Mergers and Acquisitions
afm478,International Financial Management
afm479,Cases and Applications in Finance 2
afm480,Introduction to Organizational Behaviour
afm481,Cost Management Systems
afm482,Performance Measurement and Organization Control
afm483,Applications of Analytics to Business
afm484,Advanced Management Control Systems
afm485,Approaches to Measuring Value
afm491,Advanced Financial Accounting
afm492,Financial Statement Analysis
afm501,Contemporary Issues in Assurance and Accounting
afm502,Control Systems in a Computer Environment
afm503,Issues and Problems in Accounting Practice
afm504,Issues and Problems in External Reporting
ahs100,Foundations of a Healthy Lifestyle
ahs105,Mental Health Literacy
ahs107,"Sociology of Activity, Health, and Well-being"
ahs150,Foundations of Human Anatomy and Physiology
ahs395,Study Abroad
ahs600,Foundations of Qualitative Research Methodologies
ahs782,Selected Topics in Applied Health Sciences
amath231,Calculus 4
amath242,Introduction to Computational Mathematics
amath250,Introduction to Differential Equations
amath251,Introduction to Differential Equations (Advanced Level)
amath261,Classical Mechanics and Special Relativity
amath271,Introduction to Theoretical Mechanics
amath310,Environmental Informatics
amath331,Applied Real Analysis
amath332,Applied Complex Analysis
amath333,Calculus on Manifolds for Applied Mathematics and Physics
amath342,Computational Methods for Differential Equations
amath343,Discrete Models in Applied Mathematics
amath345,Data-Driven Mathematical Models
amath350,Differential Equations for Business and Economics
amath351,Ordinary Differential Equations
amath353,Partial Differential Equations 1
amath361,Continuum Mechanics
amath362,Mathematics of Climate Change
amath373,Quantum Theory 1
amath382,Computational Modelling of Cellular Systems
amath383,Introduction to Mathematical Biology
amath390,Mathematics and Music
amath391,From Fourier to Wavelets
amath431,Measure and Integration
amath432,Functional Analysis
